d alpha worst_diameter
500 0 4500.69
600 -25 342.44
600 -20 409.23
600 -15 532.05
600 -10 815.50
600 -5 2277.46
600 0 4400.67
600 5 2277.46
600 10 815.50
600 15 532.05
600 20 409.23
600 25 342.44
700 -30 233.61
700 -25 260.21
700 -20 305.38
700 -15 388.89
700 -10 576.29
700 -5 1345.69
700 0 4300.66
700 5 1345.69
700 10 576.29
700 15 388.89
700 20 305.38
700 25 260.21
700 30 233.61
800 -35 175.55
800 -30 185.13
800 -25 202.20
800 -20 232.47
800 -15 289.70
800 -10 417.77
800 -5 890.53
800 0 4200.64
800 5 890.53
800 10 417.77
800 15 289.70
800 20 232.47
800 25 202.20
800 30 185.13
800 35 175.55
900 -40 143.56
900 -35 145.03
900 -30 149.88
900 -25 160.05
900 -20 179.54
900 -15 218.03
900 -10 305.72
900 -5 614.72
900 0 4100.62
900 5 614.72
900 10 305.72
900 15 218.03
900 20 179.54
900 25 160.05
900 30 149.88
900 35 145.03
900 40 143.56
1000 -40 123.44
1000 -35 122.46
1000 -30 123.87
1000 -25 128.96
1000 -20 140.47
1000 -15 165.09
1000 -10 223.59
1000 -5 428.44
1000 0 4000.61
1000 5 428.44
1000 10 223.59
1000 15 165.09
1000 20 140.47
1000 25 128.96
1000 30 123.87
1000 35 122.46
1000 40 123.44
1100 -40 108.39
1100 -35 105.67
1100 -30 104.59
1100 -25 105.98
1100 -20 111.58
1100 -15 125.76
1100 -10 162.40
1100 -5 320.97
1100 0 3900.59
1100 5 320.97
1100 10 162.40
1100 15 125.76
1100 20 111.58
1100 25 105.98
1100 30 104.59
1100 35 105.67
1100 40 108.39
1200 -40 97.09
1200 -35 93.17
1200 -30 90.37
1200 -25 89.14
1200 -20 94.26
1200 -15 123.18
1200 -10 182.10
1200 -5 360.99
1200 0 3800.58
1200 5 360.99
1200 10 182.10
1200 15 123.18
1200 20 94.26
1200 25 89.14
1200 30 90.37
1200 35 93.17
1200 40 97.09
1300 0 3700.56
